timestamp_ns,device,channel,sensor_type,differential,voltage
1765400101795809024,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795815936,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795823104,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101795828992,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101795835904,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795843072,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795848960,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795855872,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795863040,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795868928,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795876096,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795883008,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795888896,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795896064,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795901952,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795909120,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795916032,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795921920,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795929088,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101795936000,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795941888,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101795949056,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795954944,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101795962112,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795969024,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795974912,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795982080,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101795988992,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795994880,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796002048,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796007936,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796015104,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796022016,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796027904,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796035072,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796040960,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796047872,T7,AIN2,Voltage,true,-0.01296320278197527
1765400101796055040,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796060928,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796068096,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796075008,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796080896,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796088064,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796093952,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796100096,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796107008,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796113920,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796121088,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796126976,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796133888,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796140032,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796146944,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796153088,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796160000,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796166912,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796173056,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796179968,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796186112,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796193024,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796199936,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796207104,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796212992,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796219904,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796227072,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796232960,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796239872,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796247040,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796252928,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796260096,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796265984,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796272896,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796280064,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796285952,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796293120,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796299008,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796305920,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796313088,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796318976,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796325888,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796332032,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796338944,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796345088,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796352000,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796358912,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796365056,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796370944,T7,AIN2,Voltage,true,-0.01296320278197527
1765400101796378112,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796385024,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796390912,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796398080,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796404992,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796411904,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796418048,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796424960,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796431104,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796438016,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796444928,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796451072,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796457984,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796464128,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796471040,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796476928,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796484096,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796491008,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796496896,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796504064,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796509952,T7,AIN2,Voltage,true,-0.012017019093036652
